game_id,date,home_team,away_team,home_score,away_score,status
152969,2024-03-09T18:05:00+00:00,St.Louis Cardinals,New York Mets,3.0,9.0,Finished
152970,2024-03-09T18:05:00+00:00,Minnesota Twins,New York Yankees,10.0,7.0,Finished
152979,2024-03-09T18:05:00+00:00,Atlanta Braves,Baltimore Orioles,3.0,10.0,Finished
152980,2024-03-09T18:05:00+00:00,Detroit Tigers,Pittsburgh Pirates,8.0,5.0,Finished
152971,2024-03-09T20:05:00+00:00,Chicago Cubs,Colorado Rockies,5.0,0.0,Finished
152972,2024-03-09T20:05:00+00:00,Kansas City Royals,Arizona Diamondbacks,6.0,5.0,Finished
152973,2024-03-09T20:05:00+00:00,Los Angeles Dodgers,Texas Rangers,7.0,1.0,Finished
152974,2024-03-09T20:05:00+00:00,San Francisco Giants,Oakland Athletics,5.0,1.0,Finished
152981,2024-03-09T20:05:00+00:00,Cleveland Guardians,Los Angeles Angels,4.0,5.0,Finished
152975,2024-03-09T20:10:00+00:00,San Diego Padres,Chicago White Sox,1.0,1.0,Finished
152978,2024-03-09T20:10:00+00:00,Milwaukee Brewers,Seattle Mariners,5.0,7.0,Finished
152982,2024-03-09T20:10:00+00:00,Arizona Diamondbacks,Cincinnati Reds,5.0,7.0,Finished
152983,2024-03-09T21:05:00+00:00,Oakland Athletics,Milwaukee Brewers,4.0,2.0,Finished
152977,2024-03-09T22:05:00+00:00,Tampa Bay Rays,Boston Red Sox,0.0,4.0,Finished
152984,2024-03-09T23:05:00+00:00,Washington Nationals,Miami Marlins,1.0,4.0,Finished
152985,2024-03-10T17:05:00+00:00,Minnesota Twins,Washington Nationals,3.0,7.0,Finished
152986,2024-03-10T17:05:00+00:00,New York Yankees,Atlanta Braves,9.0,8.0,Finished
152994,2024-03-10T17:05:00+00:00,Baltimore Orioles,Toronto Blue Jays,6.0,6.0,Finished
152995,2024-03-10T17:05:00+00:00,Boston Red Sox,Tampa Bay Rays,7.0,6.0,Finished
152998,2024-03-10T17:05:00+00:00,Houston Astros,Miami Marlins,0.0,3.0,Finished
153000,2024-03-10T17:05:00+00:00,Pittsburgh Pirates,Philadelphia Phillies,7.0,9.0,Finished
152987,2024-03-10T17:07:00+00:00,Toronto Blue Jays,Baltimore Orioles,6.0,11.0,Finished
152988,2024-03-10T17:10:00+00:00,New York Mets,Detroit Tigers,2.0,3.0,Finished
152999,2024-03-10T17:10:00+00:00,Miami Marlins,St.Louis Cardinals,8.0,12.0,Finished
152989,2024-03-10T20:05:00+00:00,Texas Rangers,Chicago Cubs,1.0,5.0,Finished
152990,2024-03-10T20:05:00+00:00,Los Angeles Dodgers,Arizona Diamondbacks,12.0,1.0,Finished
152991,2024-03-10T20:05:00+00:00,San Francisco Giants,Chicago White Sox,5.0,4.0,Finished
152992,2024-03-10T20:05:00+00:00,Oakland Athletics,Kansas City Royals,6.0,3.0,Finished
152996,2024-03-10T20:05:00+00:00,Cincinnati Reds,Cleveland Guardians,5.0,3.0,Finished
152993,2024-03-10T20:10:00+00:00,Los Angeles Angels,San Diego Padres,5.0,4.0,Finished
152997,2024-03-10T20:10:00+00:00,Colorado Rockies,Milwaukee Brewers,3.0,1.0,Finished
153001,2024-03-10T20:10:00+00:00,Seattle Mariners,San Francisco Giants,8.0,3.0,Finished
153002,2024-03-11T17:05:00+00:00,New York Yankees,Baltimore Orioles,5.0,3.0,Finished
153003,2024-03-11T17:05:00+00:00,Philadelphia Phillies,New York Yankees,1.0,2.0,Finished
153004,2024-03-11T17:05:00+00:00,St.Louis Cardinals,Washington Nationals,4.0,11.0,Finished
153009,2024-03-11T17:05:00+00:00,Atlanta Braves,Minnesota Twins,3.0,0.0,Finished
153010,2024-03-11T17:05:00+00:00,Boston Red Sox,Pittsburgh Pirates,1.0,0.0,Finished
153012,2024-03-11T17:05:00+00:00,Houston Astros,Detroit Tigers,3.0,5.0,Finished
153014,2024-03-11T17:05:00+00:00,Tampa Bay Rays,Toronto Blue Jays,2.0,9.0,Finished
153005,2024-03-11T20:05:00+00:00,Chicago White Sox,Colorado Rockies,2.0,7.0,Finished
153006,2024-03-11T20:05:00+00:00,Kansas City Royals,San Francisco Giants,9.0,12.0,Finished
